Timepoint,Time,SocketID,Time,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSentUnique,pktSndLoss,pktSndDrop,pktRetrans,pktSndFilterExtra,byteSent,byteSentUnique,byteSndDrop,byteAvailSndBuf,msSndBuf,mbpsSendRate,usPktSndPeriod,pktRecv,pktRecvUnique,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss,byteRecv,byteRecvUnique,byteRcvLoss,byteRcvDrop,byteAvailRcvBuf,msRcvBuf,mbpsRecvRate,msRcvTsbPdDelay
2026-02-01T14:13:04.997126+0400,9715,42945642,9715,8139,8192,49,68.195,535.884,1000,6178,4997,2039,0,1181,0,8186256,6601528,0,5017500,52,6.74068,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:56:04.587112+0400,4392,42945640,4392,8125,8192,166,68.122,354.336,1000,2609,2358,314,0,251,0,3460068,3120588,0,5032500,41,6.30124,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:56:14.533299+0400,14339,42945640,14339,8123,8192,22,67.141,60.228,1000,6149,4994,1958,0,1155,0,8158472,6599140,0,0,0,6.5621,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T17:56:24.016768+0400,23822,42945640,23822,8154,8192,36,66.975,128.592,1000,5742,5002,1190,0,740,0,7603824,6607200,0,5034000,44,6.41436,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:56:33.636689+0400,33442,42945640,33442,8107,8192,8,66.815,487.2,1000,5764,4999,1268,0,765,0,7644272,6613084,0,5029500,52,6.35703,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:56:43.335215+0400,43140,42945640,43140,8146,8192,38,67.747,275.328,1000,5619,4999,958,0,620,0,7431280,6606692,0,5041500,46,6.12982,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:56:53.025723+0400,52831,42945640,52831,8147,8192,41,66.775,422.556,1000,5841,4985,1402,0,856,0,7724176,6567912,0,5038500,43,6.3767,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:57:02.431700+0400,62237,42945640,62237,8092,8192,45,69.074,450.372,1000,5674,5012,1062,0,662,0,7512284,6620048,0,5032500,45,6.38937,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:57:12.342788+0400,72148,42945640,72148,8140,8192,37,67.163,395.676,1000,5990,4996,1784,0,994,0,7939036,6603740,0,5040000,44,6.40821,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T17:57:21.951842+0400,81757,42945640,81757,8122,8192,11,67.133,526.26,1000,5698,5008,1102,0,690,0,7558648,6627580,0,5037000,42,6.29294,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
